the art.(定冠词)这，那
ruler n.统治者；尺，直尺
actress n.女演员
shot n.发射；弹丸；射门
naval n.海军的，军舰的
industrial a.工业的；产业的
excursion n.远足；短途旅行
blame vt.责备，把…归咎于
attribute vt.把…归因于n.属性
strict a.严格的；严谨的
seventh num.第七；七分之一
widen vt.加宽vi.变宽
discourage vt.使泄气，使灰心
genius n.天才，天赋，天资
indication n.指示；表示；表明
preliminary a.预备的，初步的
introduction n.介绍；引进；引言
undertaking n.任务，事业；许诺
mixture n.混合；混合物
composition n.构成；作品；写作
seventy num.七十，七十个
hire vt.租借n.租用，雇用
jail n.监狱vi.监禁
punishment n.罚，惩罚，处罚
assist vt.援助，帮助；搀扶
hesitate vi.犹豫，踌躇；含糊
lucky a.幸运的；吉祥的
earnest a.认真的，诚恳的
player n.游戏的人；比赛者
log n.原木，木料
guess vt.&vi.&n.猜测，推测
laundry n.洗衣房，洗衣店
bathroom n.浴室；盥洗室
whip vt.鞭笞；搅打n.鞭子
title n.标题，题目；称号
combine vt.使结合；兼有
ticket n.票，券；纲领；传票
substitute n.代替人vt.用…代替
temptation n.诱惑，引诱
emotion n.情感，感情；激动
crazy a.疯狂的，荒唐的
childish a.孩子的；幼稚的
refuse vt.拒绝vt.拒绝
unhappy a.不幸福的，不快乐的
rubber n.橡皮(擦子)；橡胶
engineer n.工程师，技师
petrol n.(英)汽油
assembly n.集合；集会；装配
playground n.操场，运动场
steer vt.&vi.驾驶
elder a.年龄较大的n.长者
input n.输入；投入的资金
guilty a.内疚的；有罪的
careless a.粗心的，漫不经心的
suitable a.合适的；适宜的
aggressive a.侵略的；好斗的
ignorant a.不知道的；无知的
moderate a.温和的；有节制的
successfully ad.成功地
ownership n.所有(权)，所有制
frank a.坦白的，直率的
contain vt.包含，容纳；等于
discuss vt.讨论，谈论；论述
cigarette n.香烟，纸烟，卷烟
radio n.无线电；收音机
aloud ad.出声地，大声地
engine n.发动机，引擎；机车
specify vi.指定，详细说明
skin n.皮；兽皮；外皮
persuade vt.说服vi.被说服
frequency n.屡次；次数；频率
religious a.宗教的；虔诚的
divorce n.离婚，离异vi.离婚
rice n.稻，米，饭
belt n.带，腰带；皮带；区
beside prep.在…旁边
export vt.输出，出口；运走
nail n.钉；指甲vt.钉
vocabulary n.词汇表；词汇，语汇
outset n.开始，开端
detect vt.察觉，发觉；侦察
puzzle n.难题；谜vi.使迷惑
relation n.关系，联系；家属
scope n.范围；余地，机会
gray a.灰色的n.灰色
voluntary a.自愿的，志愿的
lean vi.倾斜，屈身；靠
latter a.(两者中)后者的
candidate n.候选人；投考者
sequence n.连续，继续；次序
educate vt.教育；培养；训练
slogan n.标语，口号
tablet n.碑，匾；药片
shelf n.搁板，架子
thread n.线；丝；螺纹；头绪
observation n.注意；观察；观察力
flu n.流行性感冒
qualify vt.使具有资格
calm a.静的，平静的
prosperous a.繁荣的，昌盛的
fool n.蠢人，傻子vt.欺骗
charming a.迷人的，可爱的
wise a.有智慧的，聪明的
split vt.劈开vi.被劈开
sale n.卖；拍卖；销售额
sunrise n.日出(时分)
pacific a.和平的n.太平洋
custom n.习惯，风俗；海关
bucket n.水桶；吊桶；铲斗
tolerance n.忍受，容忍；公差
till prep. conj.直到…为止
rhythm n.韵律，格律；节奏
catch vt.捉住；赶上；领会
reporter n.记者，通讯员
scholarship n.学业成绩；奖学金
walk vi.&n.走，步行
throw vt.投，掷，抛，扔
taxi n.出租汽车
nurse n.保姆；护士vt.看护
imaginary a.想象中的，假想的
cottage n.村舍，小屋
oriental a.东方的；东方国家的
commerce n.商业，贸易；社交
stitch n.一针；针脚vt.缝
curve n.曲线；弯vt.弄弯
singular a.单一的；非凡的
unit n.单位；单元；部件
infant n.婴儿a.婴儿的
heal vt.治愈；使和解
stiff a.硬的；僵直的
bath n.浴，洗澡；浴缸
pursue vt.追赶，追踪；进行
nerve n.神经；勇敢，胆量
weekly a.每周的ad.每周
teenager n.青少年
exception n.例外，除外
rail n.横条，横杆；铁轨
jam vt.使塞满；使堵塞
labour n.劳动；工作；劳工
minority n.少数；少数民族
arrive vi.到达；来临；达到
boot n.靴子，长统靴
noise n.喧闹声；响声；噪声
box vi.拳击，打拳
frog n.蛙
palm n.手掌，手心；掌状物
poisonous a.有毒的，有害的
porter n.搬运工人
receipt n.收到；收条，收据
warn vt.警告vi.发生警告
cherry n.樱桃；樱桃树
funny a.古怪的；滑稽的
fly n.蝇，苍蝇vi.飞行
stale n.陈腐的；走了气的
prison n.监狱，监禁
stamp n.戳子；邮票；标志
shave vt.剃，刮vi.修面
lie vi.说谎，欺骗n.谎话
mess n.混乱，混杂，肮脏
thrill n.一阵激动
dozen n.一打，十二个
gallery n.长廊，游廊；画廊
comprehensive a.广泛的；理解的
painter n.漆工，画家，绘画者
regret vt.懊悔；抱歉n.懊悔
stream n.河；流vi.&vt.流
bill n.账单；招贴；票据
consciousness n.意识，觉悟；知觉
liable a.易于…的；可能的
bulk n.物体，容积，大批
pause n.&vi.中止，暂停
secure a.安心的；安全的
reap vt.&vi.收割，收获
haste n.急速，急忙；草率
mature a.成熟的vt.使成熟
legend n.传说，传奇
bird n.鸟，禽
winter n.冬天，冬季
wealth n.财富，财产；丰富
jewel n.宝石；宝石饰物
eastern a.东方的；朝东的
thousand num.千，千个n.无数
river n.江，河，水道
carrier n.运输工具；运载工具
cap n.帽子，便帽；帽状物
hi ini.嗨(表示问候等)
slight a.细长的；轻微的
bench n.长凳，条凳；工作台
aunt n.伯母，婶母，姑母
mine n.矿，矿山；地雷
instant n.瞬间a.立即的
bold a.大胆的；冒失的
scheme n.计划，规划；诡计
imitate vt.模仿，仿效；仿制
bubble n.泡vi.冒泡，沸腾
hopeful a.有希望的
uncertain a.无常的；不确定的
interference n.干涉，干预；阻碍
network n.网状物；网络
durable a.耐久的，耐用的
reliance n.信任，信赖，信心
import vt.&n.输入，进口
insufficient a.不足的；不适当的
unfair a.不公平的，不公正的
shallow a.浅的；浅薄的
pronunciation n.发音，发音法
honeymoon n.蜜月
princess n.公主，王妃
cross vt.穿过；使交叉
unusually a.不平常地，非常
fond a.喜爱的；溺爱的
shake vt.摇，使震动n.摇动
shower n.阵雨；(一)阵；淋浴
shout n.&vi.呼喊，喊叫
nervous a.神经的；易激动的
breathe vi.呼吸vt.呼吸
cart n.二轮运货马车
enthusiasm n.热情，热心，热忱
reject vt.拒绝；丢掉；驳回
zero n.零；零点，零度
collective a.集体的；集合性的
stroke vt.&n.抚，摩，捋
cupboard n.碗柜，碗碟橱；食橱
poison n.毒，毒药vt.毒害
drill n.钻头；操练vi.钻孔
gradual a.逐渐的；渐进的
vacant a.空的；未被占用的
feasible a.可行的；可能的
undergo vt.经历，经受，忍受
cubic a.立方形的；立方的
ultimate a.最后的，最终的
triumph n.凯旋；胜利vi.成功
slowly ad.慢慢地
weigh vt.称…的重量；掂量
sensible a.感觉得到的；明智的
beam n.梁；横梁；束，柱
injury n.损害，伤害；受伤处
fleet n.舰队；船队，机群
aircraft n.飞机，飞行器
pearl n.珍珠；珍珠母
repeatedly ad.重复地；一再
vegetable n.植物；蔬菜
garbage n.垃圾，污物，废料
destroy vt.破坏；消灭；打破
vacuum n.真空；真空吸尘器
file n.档案vt.把…归档
colleague n.同事，同僚
troublesome a.令人烦恼的；麻烦的
civilize vt.使文明；教育
thick a.厚的；密的；浓
glimpse vt.瞥见n.一瞥，一看
delicious a.美味的，怡人的
flour n.面粉，粉；粉状物质
butter n.黄油；奶油
castle n.城堡；巨大建筑物
palace n.宫，宫殿
cake n.饼，糕，蛋糕
sketch n.略图；速写；概略
fine n.罚金，罚款
hall n.门厅；过道；会堂
realm n.王国，国土；领域
coal n.煤，煤块
classical a.古典的；经典的
distant a.在远处的，疏远的
outstanding a.突出的，杰出的
systematic (al) a.有系统的；有计划的
soda n.碳酸钠，纯碱；汽水
elephant n.象
foremost a.最初的；第一流的
besides ad.而且prep.除…之外
guest n.客人，宾客；旅客
vase n.瓶，花瓶
dew n.露，露水
packet n.小包(裹)，小捆
chairman n.主席；议长，会长
officer n.官员；干事；军官
joke n.笑话vi.说笑话
handwriting n.笔迹，手迹，书法
bee n.蜂，密蜂；忙碌的人
stock n.原料；库存品；股本
sky n.天，天空
aviation n.航空，航空学
theatre n.戏院；戏剧；教室
film n.影片；胶卷；薄层
whenever conj.无论何时，每当
accommodation n.招待设备；预定铺位
introduce vt.介绍；引进，传入
thirsty a.渴的；渴望的
halt vi.停止；立定n.停住
mill n.磨坊；制造厂
dimension n.尺寸，尺度；面积
headache n.头痛；头痛的事
march vi.行军；游行示威
ridiculous a.荒谬的，可笑的
sting vt.刺；刺痛vi.&n.刺
tie n.领带；联系vt.系
flow vi.流动；飘垂；涨潮
actor n.男演员；演剧的人
plot n.小块土地vt.密谋
flag n.旗，旗帜；旗舰旗
repair vt.&n.修理，修补
tip vt.轻击vi.给小费
glue n.胶，胶水vt.胶合
visitor n.访问者；游客
vain a.徒劳的；自负的
practical a.实践的；实用的
wonderful a.惊人的；极好的
sadness n.悲痛，悲哀
fill vt.装满，盛满；占满
yellow a.黄(色)的n.黄(色)
capture vt.捕获，俘获；夺得
cast vt.投，扔，抛；浇铸
hate vt.恨，憎恨；不喜欢
enthusiastic a.热情的，热心的
sixth num.第六；六分之一
division n.分，分配；除法
dial n.钟面；拨号盘vt.拨
reform vt.&n.改革，改良
sake n.缘故，理由
instruct vt.教；指示；通知
pupil n.瞳孔
compel vt.强迫，迫使屈服
agent n.代理人，代理商
upset vt.弄翻，打翻，倾覆
assume vt.假定；承担；呈现
target n.靶，标的；目标
forth ad.向前；向外，往外
helicopter n.直升机
appointment n.任命；约定，约会
farewell int.再会n.告别
sleepy a.想睡的；寂静的
goodbye int.再见，再会
nest n.巢，窝，穴
magazine n.杂志，期刊
instinct n.本能；直觉；生性
sing vi.&vt.唱，演唱
opera n.歌剧
creature n.生物，动物，家畜
utilize vt.利用
empire n.帝国
humble a.谦逊的；地位低下的
broad a.宽的，阔的；广泛的
altogether ad.完全；总而言之
marry vt.娶，嫁vi.结婚
hence ad.因此，所以；今后
doubtful a.难以预测的；怀疑的
invite vt.邀请，聘请；招待
mainland n.大陆
leak vi.漏；泄露n.漏洞
roof n.屋顶，车顶；顶
maintenance n.维持，保持；维修
installation n.安装；装置；设施
bless vt.为…祝福
wine n.葡萄酒，果酒
arrival n.到达；到来；到达者
accidental a.偶然的；非本质的
mate n.伙伴，同事；配偶
empty a.空的；空洞的
accustomed a.惯常的；习惯的
separately ad.分离地
midst n.中部，中间，当中
representative a.代表性的n.代表
mirror n.镜子vt.反映，反射
bureau n.局，司，处；社，所
surround vt.围，围绕，圈住
pattern n.型，式样，模，模型
invisible a.看不见的，无形的
fade vi.褪色；逐渐消失
dirty a.脏的；下流的
sympathy n.同情；一致，同感
lift vt.提起，提高n.电梯
lately ad.最近，不久前
spur n.刺激物vt.刺激
straight a.直的；正直的ad.直
boil vi.沸腾；汽化vt.煮沸
fifteen num.十五；十五个
suck vt.吸，吮，啜；吸收
delight n.快乐vt.使高兴
neat a.整洁的；熟练的
independence n.独立，自主，自立
favourable a.有利的；赞成的
destruction n.破坏，毁灭，消灭
treasure n.财富；珍宝vt.珍视
harsh a.严厉的；刺耳的
gang n.一帮，一伙
violence n.猛烈，激烈；暴力
label n.标签；标记，符号
sadly ad.悲痛地，悲哀地
undergraduate n.大学肆业生
ladder n.梯子，梯状物
comfort n.舒适；安慰vt.安慰
mission n.使命，任务；使团
stove n.炉，火炉，电炉
intention n.意图，意向，目的
except prep.除…之外
crowd n.群；大众；一伙人
mention vt.&n.提及，说起
organic a.有机体的；器官的
decent a.正派的；体面的
intermediate a.中间的；中级的
remedy n.&vt.治疗；补救
mysterious a.神秘的；难以理解的
count vt.计算vi.数，计数
pint n.品脱
corner n.角；犄角；边远地区
uneasy a.心神不安的，忧虑的
promising a.有希望的；有前途的
loosen vt.解开；使松驰
cinema n.电影院；电影，影片
smooth a.平滑的；平静的
pebble n.卵石，细砾
via prep.经过；通过
vivid a.鲜艳的；生动的
tape n.线带；磁带，录音带
fold vt.折叠；合拢n.褶
session n.会议，一段时间
pillow n.枕头
tonight ad.在今夜n.今夜
ship n.(大)船，海船，舰
dismiss vt.不再考虑；解雇
liquid n.液体a.液体的
substance n.物质；实质；本旨
fortunate a.幸运的，侥幸的
passenger n.乘客，旅客，过路人
manufacturer n.制造商；制造厂
mistake n.错误vi.误解，弄错
sand n.沙，沙子；沙滩
compound n.化合物；复合词
prescribe vt.命令；处(方)
rough a.表面不平的；粗略的
pretend vt.假托，借口vi.假装
backward a.向后的；倒的ad.倒
guidance n.引导，指导，领导
silly a.傻的，愚蠢的
invasion n.入侵，侵略；侵犯
trial n.试，试验；审判
scarce a.缺乏的；希有的
squeeze vt.&vi.榨，挤；压榨
leg n.腿，腿部
simplicity n.简单，简易；朴素
recommendation n.推荐，介绍；劝告
internal a.内的；国内的
noticeable a.显而易见的；重要的
theirs pron.他(她)们的东西
bury vt.埋葬，葬；埋藏
procedure n.程序；手续；过程
soup n.汤
lovely a.可爱的；令人愉快的
sheep n.羊，绵羊
metal n.金属，金属制品
cargo n.船货，货物
crew n.全体船员
inquire vt.打听，询问；调查
tired a.疲劳的；厌倦的
noble a.贵族的；高尚的
leather n.皮革；皮革制品
grammar n.语法；语法书
brighten vt.使发光；使快活
basketball n.篮球；篮球运动
tune n.调子；和谐vt.调谐
pray vt.&vi.请求；祈祷
manual a.体力的n.手册
curious a.好奇的；稀奇古怪的
veteran n.老兵，老手
signature n.署名，签字，签名
fountain n.泉水，喷泉；源泉
disclose vt.揭开，揭发；透露
shy a.易受惊的；害羞的
utter vt.发出，说，讲
unless conj.除非，如果不
classify vt.把…分类
accelerate vt.(使)加快；促进
awkward a.笨拙的；尴尬的
bridge n.桥，桥梁；桥牌
ad n.广告
club n.俱乐部，夜总会
decorate vt.装饰，装璜，修饰
court n.法院，法庭；庭院
bean n.豆，蚕豆
tank n.坦克；大容器，槽
float vi.漂浮vt.使漂浮
roast vt.&vi.烤，炙，烘
sightseeing n.观光，游览
trail n.痕迹；小径vt.跟踪
scenery n.舞台布景；风景
shade n.荫；遮光物vi.荫蔽
melt vi.融化vt.使融化
microscope n.显微镜
reflection n.反射；映象；反映
ant n.蚂蚁
knife n.小刀，刀，餐刀
lamp n.灯
core n.果实的心，核心
eighth num.第八n.八分之一
emerge vi.出现，涌现；冒出
furthermore ad.而且，此外
feature n.特征，特色；面貌
sharply ad.锐利地，敏锐地
tomorrow ad.在明天n.明天
patience n.忍耐，容忍，耐心
secondly ad.第二(点)；其次
handy a.手边的；便于使用的
anywhere ad.在什么地方
instantly ad.立即，即刻
tolerate vt.忍受，容忍，宽恕
appreciate vt.欣赏；领会；感谢
parcel n.包裹，小包，邮包
delete vt.删除；擦掉
nuclear a.原子核的；核心的
cent n.分；分币；百
announce vt.宣布，宣告，发表
screw n.螺旋，螺丝vt.拧紧
expression n.词句；表达；表情
bone n.骨，骨骼
arbitrary a.随心所欲的；专断的
kick vi.&vt.&n.踢
bang n.巨响，枪声；猛击
establishment n.建立，设立，确立
version n.译文；说法；改写本
careful a.仔细的；细致的
luck n.运气；好运，幸运
impressive a.给人印象深刻的
ought v. aux.应当，应该
worthy a.有价值的；值得的
measurement n.衡量，测量；尺寸
overlook vt.眺望；看漏；放任
pipe n.管子，导管；烟斗
band n.乐队；带；波段
usual a.通常的；平常的
bundle n.捆，包，束；包袱
echo n.回声，反响vi.重复
spirit n.精神；气魄；情绪
extend vt.延长；扩大；致
invitation n.邀请，招待；请柬
occasion n.场合，时刻；时机
delay vt.推迟；耽搁；延误
bike n.自行车vi.骑自行车
interpreter n.译员，口译者
deaf a.聋的；不愿听的
cheerful a.快乐的，愉快的
ceiling n.天花板，顶蓬
occasionally ad.偶然；非经常地
fight vi.打(仗)；斗争
rude a.加工粗糙的；粗野
gracious a.有礼貌的；仁慈的
accomplish vt.达到(目的)；完成
ounce n.盎司，英两
polite a.有礼貌的；有教养的
unwilling a.不愿意的
refusal n.拒绝
tenth num.第十；十分之一
sustain vt.支撑；供养；忍受
cattle n.牛；牲口，家畜
beef n.牛肉；菜牛
reproduce vt.&vi.繁殖，生殖
prosperity n.繁荣；昌盛，兴旺
thirty num.三十，三十个
highway n.公路；大路
artist n.艺术家，美术家
grandfather n.祖父；外祖父
grandmother n.祖母，外祖母
flat a.平的，扁平的
violent a.猛烈的；狂暴的
consult vt.请教，查阅
religion n.宗教；宗教信仰
citizen n.公民；市民，居民
seldom ad.很少，不常，难得
tissue n.薄绢；薄纸；组织
swallow vt.&vi.吞下，咽下
underneath ad.在下面，在底下
rigid a.刚硬的；僵硬的
solid a.固体的n.固体
humorous a.富于幽默的，诙谐的
stare vi.盯，凝视
lens n.透镜，镜片；镜头
disaster n.灾难，灾祸；天灾
seize vt.抓住，逮捕；夺取
amongst prep在…之中(=among)
irregular a.不规则的；不整齐的
absent a.不在场的；缺乏的
observe vt.遵守；看到；说
frontier n.边境；边疆；新领域
transparent a.透明的；易识破的
wherever ad.究竟在哪里
embrace vt.拥抱；包括；包围
edition n.版，版本，版次
nephew n.侄子，外甥
ankle n.踝，踝节部
tennis n.网球，网球运动
sixty num.六十，六十个
readily ad.乐意地；无困难地
unknown a.不知道的；未知的
candy n.糖果；砂糖结晶
impression n.印；印象；印记
operation n.操作；手术；运算
scratch vt.&vi.&n.搔；抓
surprisingly ad.惊人地
duration n.持续，持久
behalf n.利益，维护，支持
indispensable a.必不可少的，必需的
objection n.反对，异议；不喜欢
stain vt.沾污；给…着色
reputation n.名誉，名声；好名声
attentive a.注意的；有礼貌的
ruin n.毁灭；废墟vt.毁坏
accompany vt.陪伴，陪同；伴随
execute vt.将…处死；实施
coin n.硬币；铸造(硬币)
undertake vt.从事；承担；保证
concentration n.集中；专注；浓缩
mechanical a.机械的；力学的
toilet n.厕所，盥洗室，浴室
seat n.座；座部vt.使坐下
foot n.脚；最下部；英尺
ball n.球，球状物；舞会
writer n.作者，作家，文学家
vanish vi.突然不见，消失
scream vi.尖叫；呼啸
artistic a.艺术的；艺术家的
basically ad.基本上
wave n.波；波涛vi.波动
nineteen num.十九，十九个
usage n.使用，对待；惯用法
conscience n.良心，道德心
mend vt.修理，修补，缝补
sew vt.缝制vi.缝纫
textile n.纺织品a.纺织的
blind a.瞎的；盲目的
partially ad.部分地
complaint n.抱怨；怨言；控告
rain n.雨，雨水vi.下雨
sow vt.播(种) vi.播种
grass n.草；牧草；草地
ring vi.鸣；按铃n.铃声
cheap a.廉价的；劣质的
pronounce vt.发…的音；宣布
tone n.音；腔调；声调
administration n.管理；管理部门
convert vt.使转变；使改变
swim vi.游，游泳；眼花
neither a.(两者)都不的
threaten vt.&vi.威胁，恐吓
departure n.离开，出发，起程
lesson n.功课，课；课程
unnecessary a.不必要的，多余的
electricity n.电，电学；电流
east n.东；东部ad.在东方
ancestor n.祖宗，祖先
operator n.操作人员，接线员
admission n.允许进入；承认
magnificent n.壮丽的；华丽的
broadcast n.广播，播音
cup n.杯子；(一)杯；奖杯
channel n.海峡；渠道；频道
satellite n.卫星；人造卫星
bowl n.碗，钵；碗状物
tunnel n.隧道，坑道，地道
scene n.发生地点；道具
glad a.高兴的；乐意的
preceding a.在前的；在先的
forty num.四十，第四十
clerk n.店员；办事员，职员
fetch vt.拿来；请来，接去
nasty a.龌龊的；淫猥的
breath n.气息，呼吸；气味
wander vi.漫游；迷路；离题
slide vi.滑vt.使滑动n.滑
holiday n.假日，节日；假期
neglect vt.忽视，忽略；疏忽
